epoch,total_loss,bpr_loss,reg_loss,align_loss,diver_loss
85,0.016084,0.015639,0.00026,0.000122,6.3e-05
86,0.015964,0.015548,0.00026,9.3e-05,6.2e-05
87,0.015413,0.014977,0.00026,0.000113,6.2e-05
88,0.015256,0.01483,0.00026,0.000104,6.2e-05
89,0.015269,0.01485,0.00026,9.6e-05,6.3e-05
90,0.014908,0.014488,0.000261,9.9e-05,6.1e-05
91,0.014608,0.014196,0.000261,9.1e-05,6e-05
92,0.014259,0.013845,0.000261,9.4e-05,5.9e-05
93,0.014472,0.014032,0.000261,0.000121,5.8e-05
94,0.014119,0.013666,0.000261,0.000135,5.7e-05
95,0.013481,0.013074,0.000261,8.9e-05,5.7e-05
96,0.013574,0.013163,0.000261,9.3e-05,5.6e-05
97,0.013302,0.012889,0.000261,9.6e-05,5.5e-05
98,0.013473,0.013056,0.000261,0.000101,5.5e-05
99,0.012314,0.011906,0.000261,9.2e-05,5.4e-05
100,0.012894,0.012496,0.000261,8.3e-05,5.3e-05
101,0.012177,0.011766,0.000261,9.7e-05,5.2e-05
102,0.012027,0.011602,0.000261,0.000111,5.2e-05
103,0.012176,0.011745,0.000261,0.000118,5.1e-05
